Lower tier local authorities Code,Lower tier local authorities,Proficiency in English language (4 categories) Code,Proficiency in English language (4 categories),Observation
E08000001,Bolton,-8,Does not apply,10879
E08000001,Bolton,1,Main language is English (English or Welsh in Wales),253869
E08000001,Bolton,2,Main language is not English (English or Welsh in Wales): Can speak English very well or well,22067
E08000001,Bolton,3,Main language is not English (English or Welsh in Wales): Cannot speak English or cannot speak English well,9148
E08000002,Bury,-8,Does not apply,6639
E08000002,Bury,1,Main language is English (English or Welsh in Wales),174961
E08000002,Bury,2,Main language is not English (English or Welsh in Wales): Can speak English very well or well,9075
E08000002,Bury,3,Main language is not English (English or Welsh in Wales): Cannot speak English or cannot speak English well,3176
E08000003,Manchester,-8,Does not apply,20457
E08000003,Manchester,1,Main language is English (English or Welsh in Wales),434289
E08000003,Manchester,2,Main language is not English (English or Welsh in Wales): Can speak English very well or well,75760
E08000003,Manchester,3,Main language is not English (English or Welsh in Wales): Cannot speak English or cannot speak English well,21432
E08000004,Oldham,-8,Does not apply,9358
E08000004,Oldham,1,Main language is English (English or Welsh in Wales),207898
E08000004,Oldham,2,Main language is not English (English or Welsh in Wales): Can speak English very well or well,15939
E08000004,Oldham,3,Main language is not English (English or Welsh in Wales): Cannot speak English or cannot speak English well,8893
E08000005,Rochdale,-8,Does not apply,8611
E08000005,Rochdale,1,Main language is English (English or Welsh in Wales),194800
E08000005,Rochdale,2,Main language is not English (English or Welsh in Wales): Can speak English very well or well,14097
E08000005,Rochdale,3,Main language is not English (English or Welsh in Wales): Cannot speak English or cannot speak English well,6265
E08000006,Salford,-8,Does not apply,10553
E08000006,Salford,1,Main language is English (English or Welsh in Wales),229864
E08000006,Salford,2,Main language is not English (English or Welsh in Wales): Can speak English very well or well,23095
E08000006,Salford,3,Main language is not English (English or Welsh in Wales): Cannot speak English or cannot speak English well,6411
E08000007,Stockport,-8,Does not apply,9733
E08000007,Stockport,1,Main language is English (English or Welsh in Wales),272788
E08000007,Stockport,2,Main language is not English (English or Welsh in Wales): Can speak English very well or well,9853
E08000007,Stockport,3,Main language is not English (English or Welsh in Wales): Cannot speak English or cannot speak English well,2399
E08000008,Tameside,-8,Does not apply,8029
E08000008,Tameside,1,Main language is English (English or Welsh in Wales),209879
E08000008,Tameside,2,Main language is not English (English or Welsh in Wales): Can speak English very well or well,9555
E08000008,Tameside,3,Main language is not English (English or Welsh in Wales): Cannot speak English or cannot speak English well,3606
E08000009,Trafford,-8,Does not apply,7669
E08000009,Trafford,1,Main language is English (English or Welsh in Wales),211103
E08000009,Trafford,2,Main language is not English (English or Welsh in Wales): Can speak English very well or well,13572
E08000009,Trafford,3,Main language is not English (English or Welsh in Wales): Cannot speak English or cannot speak English well,2708
E08000010,Wigan,-8,Does not apply,10229
E08000010,Wigan,1,Main language is English (English or Welsh in Wales),307912
E08000010,Wigan,2,Main language is not English (English or Welsh in Wales): Can speak English very well or well,8815
E08000010,Wigan,3,Main language is not English (English or Welsh in Wales): Cannot speak English or cannot speak English well,2374
